无论如何	foce
一个半个	ftut
又岂在朝朝暮暮	bjss
精力过人	pxat
冰雪严寒	sdao
欲加之罪何患无辞	txpr
畸重畸轻	jqjh
地利不如人和	hrdr
无从置喙	ftml
甘之若饴	spsr
斩关夺隘	hugc
奔流到海不复回	gihn
卓然不群	mwdx
学然后知不足	iwen
芳草萋萋鹦鹉洲	sssi
连战皆捷	hmra
迎神赛会	tuot
逐句逐字	dwdo
高头讲章	osoi
恰似一江春水向东流	yefi
谈天论地	ofoh
不贪为宝	dtoo
有负众望	sytu
搬石砸脚	addw
将本求利	uffr
星月交辉	jwom
相煎太急	fugy
知足知止	qnqn
诗酒风流	oiqi
旧瓶新酒	nuii
独运匠心	rsgy
雨淋日晒	dijj
悔罪自新	ymti
珍馐美馔	grur
明日何其多	jjer
恶之欲其死	aptd
吸收光谱	lxmo
填平补齐	hhpp
有性杂交	syyo
靠边儿站	wxqi
速效肥料	fowp
喜迁新居	hwib
常驻机构	nxff
环绕速度	gvfu
白发人送黑发人	extt
为非作恶	olea
鱼水深情	qkiy
思而不学则殆	jsdd
一分耕耘一分收获	ftds
门户开放	pifo
东边日出西边雨	axjd
小荷才露尖尖角	msay
明月几时有	jwqs
同声同气	khkq
孝悌忠信	hyle
远近高低各不同	feok
人生若只如初见	twsk
弃笔从戎	oqtg
举杯邀明月	ifew
只可意会不可言传	laie
狼狈逃窜	rrqp
近乡情更怯	evyy
云深不知处	side
烽火连三月	uuhw
小人长戚戚	mttd
当众出丑	mtxb
在天愿作比翼鸟	sfsy
八方支持	toda
相见时难别亦难	fkjb
两面夹攻	fggf
养兵千日用兵一时	uewj
商女不知亡国恨	ocdy
人无远虑必有近忧	tffy
谆谆善诱	oouo
日暮乡关何处是	jsvj
香火不绝	rudv
千姿万态	wsfg
大题小做	gjme
令出如山	txcj
莫待无花空折枝	srff
奇风异俗	gqce
江汉朝宗	iido
不知所言	dqiu
兴国安邦	inod
有福同享有难同当	sukm
仇人相见分外眼红	etfv
可笑不自量	aqdj
追风逐日	yqdj
言有尽而意无穷	usbp
泰山不让土壤	gjdh
惟精惟一	ypyf
三元及第	ffvq
有财有势	sksa
羊续悬鱼	uvmq
枝节横生	fsfw
无事生事	fawa
夏虫不可语冰	dkds
一代新人换旧人	feit
后宫佳丽三千人	eoet
矿物纤维	dwvv
短线产品	qvil
撤职查办	aafx
生命攸关	wyeu
水上居民	kkbc
兼济天下	uifa
沉渣泛起	iiid
接天莲叶无穷碧	afsg
前不着村后不着店	uduu
无以至千里	fxhk
州官放火	ioou
少小离家老大回	mmpn
两岸猿声啼不住	fjre
大珠小珠落玉盘	ggmq
风雪夜归人	qdot
前人栽树后人乘凉	utds
破格录用	dfxt
圣殿骑士	bbxh
人固有一死	tnsd
老子英雄儿好汉	hvsi
一举成名天下知	fidq
对影成三人	bjdt
独钓寒江雪	rtod
日出江花红胜火	jxiu
春来江水绿如蓝	gfis
无可置喙	faml
离离原上草	ppss
上穷碧落下黄泉	kpge
金玉其外败絮其中	wgdl
此情可待成追忆	nyay
上知天文下知地理	kqfg
红豆生南国	vfwn
春城无处不飞花	ghfs
千金不换	wwda
视死如生	udcw
所答非所问	iqlp
一人之下万人之上	ftpk
一蹴可几	fnaq
中外合璧	lryb
好学深思	ciij
失败为成功之母	qkob
出头的椽子先烂	xseu
羊肠小径	uwmr
大肆铺张	ghtv
不在其位不谋其政	dsdf
吾生也有涯	fwci
姑苏城外寒山寺	cshh
嘤其鸣矣	ldlv
齐驱并进	pxus
羌笛何须怨杨柳	uqef
竭忠尽智	ilbq
如诉如泣	coci
救灾恤患	foyl
仇深似海	eiei
念念不舍	ttdt
一画开天	ffff
胸有丘壑	wsem
忧劳可以兴国	ysan
逸豫可以亡身	ycaw
孤帆远影碧空尽	vmfb
月落乌啼霜满天	wsef
未成曲调先有情	hdky
望帝春心托杜鹃	uogl
四十五分	ndft
递交国书	uonv
恕不接待	cdar
物质损耗	wead
暴涨暴跌	jijn
老吾老以及人之老	hfhh
拔出萝卜带出泥	axsi
忽如一夜春风来	wcff
不患寡而患不均	dloh
八仙过海各显神通	teab
不畏浮云遮望眼	djim
风吹草低见牛羊	qlsu
民为邦本	codf
汗滴禾下土	iirh
游子身上衣	ivwo
位卑未敢忘忧国	ewhn
驰名世界	xrhj
必有我师焉	ysqf
人面桃花相映红	tgfv
万紫千红总是春	fnwg
求大同存小异	fgkc
不能成方圆	dvdn
一人得道鸡犬升天	ftrf
惊魂不定	ysdo
水能载舟亦能覆舟	kvdq
此事古难全	nadt
花落知多少	ssqm
一手包揽	ftwa
箭在弦上不得不发	qsvx
不知有汉	dqsi
彻底澄清	ruii
秋收万颗子	rxfv
书山有路勤为径	vjsr
掰开揉碎	tfad
国破山河在	ndjs
立于不败	ifdk
露从今夜白	dtte
长使英雄泪满襟	tesp
天知地知你知我知	fqhq
人多眼杂	trmy
瓜田不纳履	qjdb
朝辞白帝彩云间	drep
皇天不负苦心人	efdt
千山鸟飞绝	wjyv
春风不度玉门关	gqdu
我辈岂是蓬蒿人	qljt
三十功名尘与土	fdfh
此物最相思	nwjj
半斤对八两	uebf
扬清抑浊	aiai
春花秋月何时了	gsrv
干卿何事	htea
寻幽探胜	xjaw
物以类聚人以群分	wxpt
隔江犹唱后庭花	cirs
三千宠爱在一身	fwow
梨花一枝春带雨	rsfd
沧海月明珠有泪	iiwi
庄生晓梦迷蝴蝶	uwjk
锦瑟无端五十弦	tgfv
三杯通大道	ffbu
明月来相照	jwfj
猕猴骑土牛	rrxw
常年不懈	nqdy
不知何故	dqed
坚定意志	noih
一举成功	fidf
千树万树梨花开	wfff
映日荷花别样红	jjsv
酗酒滋事	giia
报得三春晖	arfj
断绝往来	pvrf
秋水共长天一色	rksy
濯清涟而不妖	iiic
一行白鹭上青天	fref
早知今日何必当初	jqtp
春风又绿江南岸	gqbj
相看两不厌	ftfs
曲径通幽处	krbe
鞠躬尽瘁死而后已	gwbb
青出于蓝胜于蓝	hxfs
徘徊观望	rrbu
琴瑟和谐	ggro
人情练达即文章	tyvi
雷霆一击	ddfa
两情若是久长时	fysj
只缘身在最高层	lvwb
不足为外人道也	dnoc
聪颖过人	arat
仰天大笑出门去	efgh
遍插茱萸少一人	iast
知无不言言无不尽	qfdb
笑问客从何处来	qpof
竹外桃花三两枝	qrff
不可沽名学霸王	daig
百足之虫死而不僵	dnpe
不足为道	dnou
古来征战几人回	dfrn
上有天堂下有苏杭	ksff
信口胡诌	eldo
花开堪折直须折	sfha
断肠人在天涯	pwti
光辉夺目	mmgm
安能摧眉折腰事权贵	oval
松下问童子	fapv
浴火凤凰	iuqq
车如流水马如龙	hcid
孜孜矻矻	vvdd
四体不勤五谷不分	nedt
使我不得开心颜	eqdi
夜半钟声到客船	outq
气蒸云梦泽	qssi
蓬门今始为君开	sptf
六宫粉黛无颜色	oopy
鱼我所欲也	qqic
寂寞沙洲冷	oois
明朝散发弄扁舟	jdsq
造化钟神秀	wetr
平明送客楚山孤	hjuv
轻烟散入五侯家	huso
坐观垂钓者	tbeh
举杯消愁愁更愁	ifir
蓝田日暖玉生烟	sjju
笔落惊风雨	qsyd
举杯销愁愁更愁	iftr
轻拢慢捻抹复挑	haya
邦以民为本	dxcf
年近花甲	qesk
养在深闺人未识	usio
风景这边独好	qjpc
人人有份	ttse
春捂秋冻	gars
经营惨淡	vsyi
麻雀虽小五脏俱全	pmlt
仓廪实而知礼节	tuos
恰同学少年	ykiq
碧水青山	gkhj
三男两女	fjfc
富贵吉祥	olhu
福禄寿喜	uudh
大有所为	gsio
初试啼声	polh
烟花三月下扬州	usfi
打个照面	atjg
宜将剩勇追穷寇	ouro
逝者如斯夫	ahcg
一片冰心在玉壶	ftsh
路见不平拔刀相助	nkdm
门前冷落车马稀	pusr
霜叶红于二月花	dlvs
万事俱备只欠东风	faeq
磨嘴皮子	plvv
一骑红尘妃子笑	fxvq
清泉石上流	iedi
千里之堤溃于蚁穴	wkpp
临行密密缝	nrov
众人皆醉我独醒	ttrg
今夕是何年	trjq
世事洞明皆学问	haip
一口吃个胖子	fllv
其不善者而改之	ddup
小人喻于利	mtlr
祸兮福之所倚	utue
门泊东吴万里船	piaq
无边落木萧萧下	fxsa
凄凄惨惨戚戚	ssyd
覆巢之下无完卵	dvpt
好之者不如乐之者	cphh
头悬梁锥刺股	smiw
淡泊以明志	iixh
水过地皮湿	kahi
落红不是无情物	svdw
风牛马不相及	qwxv
天生丽质难自弃	fwfo
气吞万里如虎	qffm
当刮目相看	mrmt
要留清白在人间	dtip
大放光明	gomj
只在此山中	lsnl
如人饮水冷暖自知	ctrq
人心齐泰山移	typr
顺我者昌逆我者亡	qqhu
孤舟蓑笠翁	vqst
百花凋零	dssd
凭空臆造	epww
郎骑竹马来	oxqf
不系之舟	dqpq
碧海青天夜夜心	gihy
眼中钉肉中刺	mltf
一着不慎满盘皆输	fudh
独怆然而涕下	rywa
嘴尖皮厚腹中空	lmvp
愿君多采撷	sxra
如簧之舌	cqpr
种瓜得瓜种豆得豆	rqrf
乌衣巷口夕阳斜	eost
失之东隅收之桑榆	qpaf
水可载舟亦可覆舟	kadq
放下屠刀立地成佛	oabe
七尺之躯	abpw
成事在人	dast
挨打受气	aaeq
差之毫厘谬以千里	upok
欲语泪先流	toii
寒雨连江夜入吴	odhl
得道多助失道寡助	rurm
会须一饮三百杯	ttff
天地一沙鸥	fhfg
两处茫茫皆不见	fesk
劝君莫惜金缕衣	bxso
人生在世不称意	twsi
不得已而用之	drbp
诗成泣鬼神	odiu
春潮带雨晚来急	gisy
十年一觉扬州梦	dqff
八月湖水平	twih
一弦一柱思华年	fvfq
从此君王不早朝	tnxd
东风无力百花残	aqfd
深林人不知	iftq
还寝梦佳期	dofd
江清月近人	iiwt
闲来垂钓碧溪上	pfek
行不得也哥哥	rdra
但愿长醉不愿醒	estg
上有黄鹂深树鸣	kssl
云雨巫山枉断肠	sdfw
积弱积贫	rvrt
长足进展	tnsb
焕发青春	uxhg
幼吾幼以及人之幼	vfvv
乱花渐欲迷人眼	rsim
道高一尺魔高一丈	uofs
潮平两岸阔	ihfp
天网恢恢疏而不漏	fkyi
功夫之王	fgpg
年年岁岁花相似	qqje
无可估量	faej
青山遮不住	hjue
衣食足而知荣辱	oyns
落霞与孤鹜齐飞	sdsv
天将降大任于斯人也	fucc
不求有功但求无过	dfsa
如烹小鲜	comq
纸里包不住火	vkwu
当春乃发生	mgvw
玫瑰人生	ggtw
余波荡漾	tisi
衣来伸手饭来张口	ofel
洛阳亲友如相问	icip
牧童遥指杏花村	wief
殷忧启圣	eyib
化作春泥更护花	eegs
觊觎之心	jtpy
疑是银河落九天	rjtf
皮之不存毛将焉附	vpdc
螳螂捕蝉黄雀在后	kkae
只要肯登攀	ldnf
各领风骚数百年	etqq
十年树木百年树人	dqft
往来成古今	rfdt
军容风纪	ypqv
一夫当关万夫莫开	fgmf
白了少年头	evms
行到水穷处	rhke
明月松间照	jwfj
齐鲁青未了	pqhv
福兮祸之所伏	utue
知之者不如好之者	qphh
兵马未动粮草先行	exhr
早有蜻蜓立上头	jsks
昔人已乘黄鹤去	stbh
不尽长江滚滚来	dbtf
无源之水无本之木	fipf
立身行事	iwra
杀伐决断	wesp
非学无以广才	lifa
人不犯我我不犯人	tdrt
天下兴亡匹夫有责	faih
嫁鸡随鸡嫁狗随狗	cbcr
此曲只应天上有	nkls
能饮一杯无	vrff
晚来天欲雪	jffd
绿蚁新醅酒	vkii
巴山夜雨涨秋池	cjoi
只此一家别无分店	lnfu
春生夏长秋收冬藏	gwds
盛名之下其实难副	drpf
醉卧沙场君莫笑	gsiq
感时花溅泪	djsi
粪土当年万户侯	phme
乘兴而来败兴而归	risu
不敢问来人	dvpt
红杏枝头春意闹	vffp
往事知多少	raqm
费心劳力	vysx
桃李不言下自成蹊	ffdn
青云之志	hsph
君自故乡来	xtdf
胡天八月即飞雪	dftd
减字木兰花	sofs
花径不曾缘客扫	srda
独坐幽篁里	rtjk
无意苦争春	fisg
马上相逢无纸笔	xkfq
生子当如孙仲谋	wvmo
俱怀逸兴壮思飞	eyyv
双泪落君前	bisu
涵虚混太清	imii
端居耻圣明	ibaj
欲济无舟楫	tiff
高堂明镜悲白发	onjx
烹羊宰牛且为乐	ouot
小弦切切如私语	mvao
儿女共沾巾	qcsm
钟鼓馔玉不足贵	thrl
春宵苦短日高起	gosd
一枝红艳露凝香	ffvr
忽复乘舟梦日边	wqrx
中间小谢又清发	lpmx
芙蓉帐暖度春宵	ssmo
一波才动万波随	fiac
泪眼问花花不语	impo
虫声新透绿窗纱	khiv
卓有成就	msdo
雄关漫道真如铁	suit
悠然见南山	ewkj
有所顾忌	sisb
瞄准射击	mswa
爆竹声中一岁除	uqhc
天然去雕饰	fwhr
姿态万千	sgfw
自我治疗	tqip
把酒问青天	aipf
春风得意马蹄疾	gqrp
莫道君行早	suxj
千里之堤毁于蚁穴	wkpp
大漠孤烟直	givd
淡妆浓抹总相宜	iuio
靠山吃山靠水吃水	wjlk
墙里开花墙外香	hkfr
望尽天涯路	ubfn
城门失火殃及池鱼	hpqq
来者犹可追	fhry
泰山压顶不弯腰	gjsw
松鹤延年	fyqq
千里江陵一日还	wkid
学海无涯苦作舟	iifq
高不可及	odav
铁面无情	tgfy
故人西辞黄鹤楼	dtdf
红泥小火炉	vimu
道是无晴却有晴	ujfj
人非圣贤孰能无过	tlba
脉络分明	wvtj
金马碧鸡	wxgb
执手相看泪眼	atfm
空山新雨后	pjie
春来发几枝	gfxf
人为刀俎我为鱼肉	tobk
我本将心向明月	qfuw
收拾旧山河	xani
不如相忘于江湖	dcfi
愿得一心人	srft
古道西风瘦马	dudx
天气晚来秋	fqjr
满目琳琅	imgg
三申五令	fkft
与人方便自己方便	stoe
坐地日行八万里	thjk
以其昏昏使人昭昭	xdtj
绕床弄青梅	vugf
满山满谷	ijit
有贼心没贼胆	skyw
二十四桥明月夜	sdno
精诚所至金石为开	poif
又见一帘幽梦	bkff
奇文共欣赏	gpsn
觉今是而昨非	itjl
白首方悔读书迟	euob
拔剑四顾心茫然	atnw
嘈嘈切切错杂弹	llav
梅子黄时雨	fvsd
应知故乡事	uqda
两小无嫌猜	fmfr
远上寒山石径斜	fkot
落花有意流水无情	sssy
平等互惠	hqsg
白云生处有人家	eswo
万里长征人未还	fktd
白日放歌须纵酒	ejoi
朝如青丝暮成雪	dchd
却话巴山夜雨时	hocj
商人重利轻别离	otqp
大行不顾细谨	grdo
将登太行雪满山	ubgj
烟笼寒水月笼沙	uqoi
浮云游子意	isii
还来就菊花	dfos
待到重阳日	rhqj
何事秋风悲画扇	eari
落花时节又逢君	ssjx
凭君传语报平安	exeo
欲渡黄河冰塞川	tisq
黄河远上白云间	sifp
波撼岳阳城	iaeh
大雪满弓刀	gdib
正是江南好风景	fjij
莲动下渔舟	ssaq
决眦入归鸟	smry
过则勿惮改	akwb
萧萧班马鸣	ssgl
洗手作羹汤	itei
杨家有女初长成	fosd
山光悦鸟性	jmyy
此地一为别	nhfl
浑欲不胜簪	itdq
山回路转不见君	jnnx
寒梅著花未	ofsh
不堪盈手赠	dhvk
青鸟殷勤为探看	hyet
昨夜星辰昨夜风	jojq
三顾频烦天下计	fsno
古来万事东流水	dffk
红颜未老恩先断	vihp
夜吟应觉月光寒	oluo
将军角弓不得控	uyya
晓镜但愁云鬓改	jteb
饥者易为食	rhjy
胡琴琵琶与羌笛	dggq
中军置酒饮归客	lymo
今夜偏知春气暖	toej
径须沽取对君酌	rtig
更深月色半人家	fiwo
映阶碧草自春色	jcgy
填海造地	hiwh
而今迈步从头越	stfd
壮志豪情	uhoy
拍板定案	afoo
问渠哪得清如许	pilo
风正一帆悬	qffm
高峡出平湖	ojxi
以及人之老	xvth
岁岁年年人不同	jjqk
风尘女子	qmcv
身教重于言教	whqh
数风流人物	pqiw
非宁静无以致远	lohf
问渠那得清如许	pivo
春风送暖入屠苏	gqus
门户洞开	piif
借问酒家何处有	epis
雨打风吹去	daqh
眼观六路耳听八方	mboo
不管风吹浪打	dqqa
扶摇直上九万里	aadk
不知今夕何夕	dqtr
绿树村边合	vffy
无人知是荔枝来	ftqf
等闲识得东风面	qpog
千古风流人物	wdqw
功臣自居	fstb
桃花潭水深千尺	fsib
或重于泰山	gqfj
扶摇而上	aask
满目青山	imhj
枯藤老树昏鸦	fshh
我自横刀向天笑	qtfq
毫不利己专门利人	odrt
花间一壶酒	spfi
日照香炉生紫烟	jjru
居高声自远	bohf
欲饮琵琶马上催	trge
独排众议	rato
攻其一点不及其余	fdft
温泉水滑洗凝脂	iekw
不及汪伦送我情	dviy
白刀子进红刀子出	ebvx
西塞山前白鹭飞	dojv
斯人独憔悴	dtry
万径人踪灭	frtf
奔腾澎湃	gwii
百花齐放百家争鸣	dspl
七月七日长生殿	awab
儿童相见不相识	qifo
遥知兄弟登高处	eqle
秦时明月汉时关	gjju
你言我语	euqo
白沙在涅	eisi
恨别鸟惊心	ylyy
日出而作日入而息	jxst
黑发不知勤学早	nxdj
光阴虚度	mcmu
雕栏玉砌应犹在	wfgs
朱雀桥边野草花	wmfs
不肯过江东	dnaa
风声鹤唳草木皆兵	qhye
人之将死其言也善	tpuu
三男四女	fjnc
芙蓉如面柳如眉	sscb
天阶夜色凉如水	fcok
禅房花木深	uisi
空山不见人	pjdt
野渡无人舟自横	kiff
何当共剪西窗烛	emsu
落花人独立	ssti
言师采药去	uueh
十步杀一人	dnwt
城春草木深	hgsi
物是人非事事休	wjte
别时容易见时难	ljpb
春寒赐浴华清池	goki
夜泊秦淮近酒家	oigo
今宵酒醒何处	toie
江枫渔火对愁眠	ifim
明月别枝惊鹊	jwls
祭神如神在	wucs
笑谈渴饮匈奴血	qoiq
但闻人语响	eptl
昨日之日不可留	jjpt
吹度玉门关	lugu
弹琴复长啸	vgql
一任群芳妒	fexc
劝君惜取少年时	bxyj
化作相思泪	eefi
竹喧归浣女	qluc
东风不与周郎便	aqde
潭影空人心	ijpy
独怜幽草涧边生	ryjw
今日之日多烦忧	tjpy
停杯投箸不能食	efay
江流天地外	iifr
无为在歧路	fosn
日暮汉宫传蜡烛	jsiu
北风卷地白草折	uqua
双袖龙钟泪不干	bpdh
自将磨洗认前朝	tupd
微雨燕双飞	rdsv
雪上空留马行处	dkpe
枫叶荻花秋瑟瑟	flsg
大弦嘈嘈如急雨	gvld
云鬓花颜金步摇	shsa
别有幽愁暗恨生	lsjw
向晚意不适	rjir
玉容寂寞泪阑干	gpoh
风烟望五津	quui
复照青苔上	qjhk
崔九堂前几度闻	jynp
天姥连天向天横	fchf
烈士暮年壮心不已	dhsb
苦恨年年压金线	syqv
春心莫共花争发	gysx
忽见陌头杨柳色	wkcy
分明怨恨曲中论	tjro
对此可以酣高楼	bnaf
戎马关山北	gxuu
北斗阑干南斗斜	uspt
铁肩担道义	tiao
安得广厦千万间	orup
毕竟东流去	riah
不问苍生问鬼神	dpsu
为赋新词强说愁	okir
国以民为本	nxcf
无限风光在险峰	fcqj
老夫聊发少年狂	hgar
意恐迟迟归	ifbu
昨夜西风凋碧树	jodf
乡音无改鬓毛衰	vifo
少年夫妻老来伴	mqge
寂寞空庭春欲晚	oopj
明修栈道暗度陈仓	jeft
窗含西岭千秋雪	ptdd
人事有代谢	taso
青山郭外斜	hjot
庭院深深深几许	ucio
吹面不寒杨柳风	lgdq
不亦君子乎	dpxq
不患贫而患不安	dlto
古今多少事	dtra
望庐山瀑布	uujs
桃花流水鳜鱼肥	fsiw
视而不见听而不闻	usdp
此地空余黄鹤楼	nhpf
明月出天山	jwxj
山外青山楼外楼	jrhf
王师北定中原日	guuj
最是一年春好处	jjfe
曲项向天歌	kfra
事了拂衣去	avah
二月春风似剪刀	swgb
东风第一枝	aqqf
念天地之悠悠	tfhe
轻罗小扇扑流萤	hmms
君住长江尾	xetb
独酌无相亲	rgfi
竟无语凝噎	ifol
生于忧患死于安乐	wfyt
小楼一夜听春雨	mffd
起舞弄清影	dqgj
流水落花春去也	iksc
白毛浮绿水	erik
君问归期未有期	xpud
嬉笑怒骂皆成文章	cqci
煮豆燃豆萁	hfus
无边光景一时新	fxmi
机不可失时不再来	fdaf
渭城朝雨浥轻尘	ihdm
即从巴峡穿巫峡	xtcj
冠盖满京华	yuie
月涌大江流	wigi
挥手自兹去	atth
小楼昨夜又东风	mfjq
一片孤城万仞山	ftvj
水村山郭酒旗风	kfjq
老大嫁作商人妇	hgcc
何似在人间	eesp
星垂平野阔	jehp
夜半无人私语时	oufj
千秋万岁名	wrfr
风光不与四时同	qmdk
江州司马青衫湿	iivi
海客谈瀛洲	iooi
玉人何处教吹箫	gteq
教然后知困	hwen
渔阳鼙鼓动地来	ichf
有子万事足	svfn
落日故人情	sjdy
岱宗夫如何	eoge
渚清沙白鸟飞回	iiin
风急天高猿啸哀	qyfo
佳节又重阳	esbc
不重生男重生女	dqwc
夜来幽梦忽还乡	ofjv
九天阊阖开宫殿	yfpb
胜日寻芳泗水滨	wjxi
山河破碎风飘絮	jidc
飘飘何所似	ddee
故园东望路漫漫	dnai
金樽清酒斗十千	wfiw
玉垒浮云变古今	gvit
白水绕东城	ekvh
但使主人能醉客	eeoo
晋代衣冠成古丘	aeoe
忽闻海上有仙山	wpij
实迷途其未远	optf
独留青冢向黄昏	rtht
将军金甲夜不脱	uyww
吴楚东南坼	lfah
来日绮窗前	fjvu
一朝选在君王侧	fdwe
灭烛怜光满	fuyi
青霭入看无	hdrf
蓬莱文章建安骨	sspm
青山横北郭	hjfo
欲将轻骑逐	tuhd
凤歌笑孔丘	qaqe
名成八阵图	rdtn
悔教夫婿觅封侯	yhge
侍儿扶起娇无力	eqax
艰难苦恨繁霜鬓	bbsh
阴阳割昏晓	ccoj
与君歌一曲	sxak
且放白鹿青崖间	moep
又送王孙去	bugh
只有相思无尽处	lsfe
宫花寂寞红	osov
已是黄昏独自愁	bjsr
瀚海阑干百丈冰	iips
野旷天低树	kjff
将军夜引弓	uyov
转轴拨弦三两声	hhah
丞相祠堂何处寻	vfux
美人卷珠帘	utup
王孙自可留	gvtt
两朝开济老臣心	fdfy
昼出耘田夜绩麻	bxdp
行人弓箭各在腰	rtvw
斗酒十千恣欢谑	sido
城阙辅三秦	hphg
醉不成欢惨将别	gddl
绝代有佳人	vest
隔叶黄鹂空好音	clsi
忽闻水上琵琶声	wpkh
驱车登古原	xhbs
轮台东门送君去	hvah
秋雨梧桐叶落时	rdfj
返景入深林	ejrf
万籁此俱寂	fqno
与君离别意	sxpi
御宇多年求不得	rorr
春风桃李花开日	gqfj
刘郎已恨蓬山远	pobf
弦弦掩抑声声思	vvaj
咬定青山不放松	lohf
路上行人欲断魂	nkrs
火树银花不夜天	uftf
厚积而薄发	srsx
不破楼兰终不还	ddfd
莫道桑榆晚	subj
总把新桃换旧符	uaiq
卷起千堆雪	udwd
往者不可谏	rhdo
大风起兮云飞扬	gqda
停车坐爱枫林晚	ehtj
或轻于鸿毛	ghfr
吹尽狂沙始到金	lbrw
三分天下有其二	ftfs
两个黄鹂鸣翠柳	ftsf
共饮长江水	srtk
把酒话桑麻	aiop
家祭无忘告乃翁	owft
天地英雄气	fhsq
百病丛生	dptw
我劝天公重抖擞	qbfa
不知天上宫阙	dqfp
无处话凄凉	feos
黄沙百战穿金甲	sidk
天光云影共徘徊	fmsr
梦里不知身是客	fkdo
暗香浮动月黄昏	jrit
人不为己天诛地灭	tdof
纵使相逢应不识	vefo
苍茫云海间	sssp
我欲乘风归去	qtrh
但使龙城飞将在	eeds
惟有泪千行	ysir
客舍青青柳色新	othi
嫦娥应悔偷灵药	ccus
同居长干里	kbtk
青山隐隐水迢迢	hjcb
醉里挑灯看剑	gkat
常记溪亭日暮	nois
便下襄阳向洛阳	eaoc
廉者不受嗟来之食	uhdy
三杯两盏淡酒	fffi
寒食东风御柳斜	oyat
千里莺啼绿映红	wksv
我失骄杨君失柳	qqxf
粉身碎骨浑不怕	pwdy
清风半夜鸣蝉	iquk
衡阳雁去无留意	rcsi
寂寞身后事	oowa
江山留胜迹	ijtp
玉碗盛来琥珀光	gddm
兰陵美酒郁金香	ucur
林花谢了春红	fsov
春风拂槛露华浓	gqai
此情无计可消除	nyfc
春风十里扬州路	gqdn
不汲汲于富贵	diil
只有敬亭山	lssj
毕竟西湖六月中	ridl
九州生气恃风雷	yiwd
长风几万里	tqqk
只愿君心似我心	lsxy
白头搔更短	esaq
岁月不待人	jwdt
当时明月在	mjjs
锦江春色来天地	tigh
曾照彩云归	ujeu
惊破霓裳羽衣曲	yddk
笑语盈盈暗香去	qovh
小乔初嫁了	mepv
绝胜烟柳满皇都	vwuh
我本楚狂人	qfft
身世浮沉雨打萍	whis
美人如花隔云端	utci
我寄愁心与明月	qorw
闲坐说玄宗	ptoo
请君试问东流水	oxok
锦官城外柏森森	tohf
画眉深浅入时无	fbif
半夜凉初透	uosr
故人具鸡黍	dtmr
凤凰台上忆吹箫	qqvq
独坐敬亭山	rtsj
江入大荒流	irgi
自是人生长恨水长东	tjta
世事两茫茫	hafs
驿外断桥边	xrpx
长安一片月	tofw
今上岳阳楼	tkef
半壁见海日	ubkj
披衣觉露滋	aoii
十指不沾泥	dadi
云破月来花弄影	sdwj
报答平生未展眉	aqhb
山色有无中	jysl
旧书不厌百回读	nvdo
赢得青楼薄幸名	urhr
天阴雨湿声啾啾	fcdl
功盖三分国	fufn
会向瑶台月下逢	trge
平明寻白羽	hjxx
夜深忽梦少年事	oiwa
仙乐风飘处处闻	etqp
座中泣下谁最多	ulir
清晨入古寺	ijrh
而不见舆薪	sdks
长风万里送秋雁	tqfs
骊宫高处入青云	xoos
乱红飞过秋千去	rvvh
天涯地角有穷时	fihj
远芳侵古道	fseu
打起黄莺儿	adsq
红楼隔雨相望冷	vfcs
五岳寻仙不辞远	fexf
名花倾国两相欢	rseb
老病有孤舟	hpsq
却是旧时相识	hjno
官应老病休	ouhe
一寸相思一寸灰	fafs
竖子不足与谋	nvdo
梨花满地不开门	rsip
汉皇重色思倾国	ieqn
银瓶乍破水浆迸	tuqu
散入珠帘湿罗幕	srgs
几回魂梦与君同	qnsk
别时茫茫江浸月	ljsw
世间行乐亦如此	hprn
去时雪满天山路	hjdn
尽日君王看不足	bjxn
三春白雪归青冢	fgey
未妨惆怅是清狂	hcyr
草色烟光残照里	syuk
问姓惊初见	pcyk
主人忘归客不发	otux
移舟泊烟渚	rqii
天长路远魂飞苦	ftns
莫教枝上啼	shfl
主人何为言少钱	otet
深锁春光一院愁	itgr
夕阳西下几时回	rcdn
应怜屐齿印苍苔	uybs
曲终收拨当心画	kvxf
一夜乡心五处同	fovk
间关莺语花底滑	pusi
待晓堂前拜舅姑	rjnc
遂令天下父母心	utfy
殚思竭虑	djim
大庇天下寒士俱欢颜	gufi
我自岿然不动	qtjs
对症用药	bpts
临机处置	nfem
魔高一尺道高一丈	pofs
长河落日圆	tisn
哀民生之多艰	ocwb
南朝四百八十寺	ddnh
舍命救人	tyft
得意之笔	ripq
力所不逮	xidx
宏图大略	ongj
金风玉露一相逢	wqge
登泰山而小天下	bgja
有家归不得	sour
年逾不惑	qtdg
慢声细语	yhvo
见龙卸甲	kdqk
枯瘦如柴	fpcn
多少楼台烟雨中	rmfl
一蓑烟雨任平生	fsuw
五十知天命	fdqy
千秋尚凛然	wrnw
卖儿卖女	dqdc
劳心者治人	syht
广征博引	urdv
从容自在	tpts
毫无所知	ofiq
明月何时照我还	jwed
视死忽如归	udwu
山色空蒙雨亦奇	jypg
正是河豚欲上时	fjij
挈妇将雏	dcuy
试玉要烧三日满	ogdi
如椽之笔	cfpq
七十古来稀	addr
零落成泥碾作尘	dsdm
去头去尾	hshb
黄梅时节家家雨	sfjd
半亩方塘一鉴开	uoof
梦游天姥吟留别	fifl
