㐄	㐄 㐄󠄀 㐄󠄁 㐄󠄂
卽	卽 卽󠄁 卽󠄂
卿	卿 卿󠄃 卿󠄄 卿󠄅 卿󠄆 卿󠄇
厖	厖 厖󠄁 厖󠄂
厥	厥 厥󠄁 厥󠄂
厩	厩 厩󠄆 厩󠄇 厩󠄈 厩󠄉 厩󠄊 厩󠄋 厩󠄌 厩󠄍
厰	厰 厰󠄁 厰󠄂
厲	厲 厲󠄁 厲󠄂
又	又 又󠄁 又󠄂
叉	叉 叉󠄂 叉󠄃
及	及 及󠄂 及󠄃
収	収 収󠄂 収󠄃
叐	叐 叐󠄀 叐󠄁 叐󠄂 叐󠄃
叔	叔 叔󠄁 叔󠄂
叛	叛 叛󠄂 叛󠄃 叛󠄄 叛󠄅 叛󠄆
叜	叜 叜󠄀 叜󠄁
叝	叝 叝󠄁 叝󠄂
叟	叟 叟󠄂 叟󠄃 叟󠄄
叫	叫 叫󠄁 叫󠄂
叭	叭 叭󠄁 叭󠄂
叱	叱 叱󠄂 叱󠄃
史	史 史󠄂 史󠄃
号	号 号󠄁 号󠄂
吆	吆 吆󠄀 吆󠄁
吏	吏 吏󠄂 吏󠄄
君	君 君󠄁 君󠄂
吝	吝 吝󠄁 吝󠄂
吟	吟 吟󠄁 吟󠄂
吩	吩 吩󠄁 吩󠄂
含	含 含󠄁 含󠄂
吸	吸 吸󠄂 吸󠄃
呀	呀 呀󠄂 呀󠄃
呈	呈 呈󠄂 呈󠄃 呈󠄄
呕	呕 呕󠄁 呕󠄂
周	周 周󠄂 周󠄃
呱	呱 呱󠄁 呱󠄂
咅	咅 咅󠄁 咅󠄂
咆	咆 咆󠄁 咆󠄂
咎	咎 咎󠄁 咎󠄂 咎󠄃
咞	咞 咞󠄀 咞󠄁
咢	咢 咢󠄁 咢󠄂
咬	咬 咬󠄂 咬󠄃
咲	咲 咲󠄂 咲󠄃
咵	咵 咵󠄀 咵󠄁
咼	咼 咼󠄁 咼󠄂 咼󠄃
哉	哉 哉󠄁 哉󠄂
哎	哎 哎󠄁 哎󠄂
哠	哠 哠󠄁 哠󠄂
哨	哨 哨󠄂 哨󠄃
哲	哲 哲󠄁 哲󠄂
哽	哽 哽󠄁 哽󠄂
唆	唆 唆󠄁 唆󠄂
唌	唌 唌󠄁 唌󠄂
唐	唐 唐󠄂 唐󠄃
唳	唳 唳󠄃 唳󠄄 唳󠄅
唹	唹 唹󠄂 唹󠄃
啄	啄 啄󠄂 啄󠄃 啄󠄄 啄󠄅 啄󠄆
商	商 商󠄂 商󠄃 商󠄄
啇	啇 啇󠄁 啇󠄂
啌	啌 啌󠄁 啌󠄂
啓	啓 啓󠄂 啓󠄃
啚	啚 啚󠄁 啚󠄂 啚󠄃
啝	啝 啝󠄁 啝󠄂
啨	啨 啨󠄀 啨󠄁
啼	啼 啼󠄁 啼󠄂
善	善 善󠄂 善󠄃 善󠄄 善󠄅 善󠄆
喆	喆 喆󠄁 喆󠄂
喏	喏 喏󠄁 喏󠄂
喑	喑 喑󠄁 喑󠄂
喓	喓 喓󠄁 喓󠄂
喙	喙 喙󠄁 喙󠄂 喙󠄃 喙󠄄
喜	喜 喜󠄂 喜󠄃 喜󠄄
喝	喝 喝󠄂 喝󠄃
喞	喞 喞󠄁 喞󠄂
喨	喨 喨󠄁 喨󠄂
喩	喩 喩󠄃 喩󠄄
喪	喪 喪󠄁 喪󠄂
喫	喫 喫󠄃 喫󠄄 喫󠄅 喫󠄆
單	單 單󠄁 單󠄂 單󠄃
喰	喰 喰󠄂 喰󠄃
喻	喻 喻󠄀 喻󠄁
嗂	嗂 嗂󠄀 嗂󠄁
嗅	嗅 嗅󠄁 嗅󠄂
嗐	嗐 嗐󠄀 嗐󠄁
嗒	嗒 嗒󠄁 嗒󠄂
嗔	嗔 嗔󠄁 嗔󠄂
嗝	嗝 嗝󠄁 嗝󠄂
嗞	嗞 嗞󠄁 嗞󠄂
嗢	嗢 嗢󠄁 嗢󠄂
嗤	嗤 嗤󠄃 嗤󠄄 嗤󠄅
嗹	嗹 嗹󠄁 嗹󠄂
嘅	嘅 嘅󠄂 嘅󠄃 嘅󠄄 嘅󠄅
嘆	嘆 嘆󠄂 嘆󠄃
嘉	嘉 嘉󠄂 嘉󠄃 嘉󠄄
嘔	嘔 嘔󠄁 嘔󠄂
嘛	嘛 嘛󠄁 嘛󠄂
嘩	嘩 嘩󠄁 嘩󠄂
嘬	嘬 嘬󠄁 嘬󠄂
嘰	嘰 嘰󠄁 嘰󠄂
嘲	嘲 嘲󠄂 嘲󠄃
嘼	嘼 嘼󠄁 嘼󠄂
嘾	嘾 嘾󠄀 嘾󠄁
噂	噂 噂󠄂 噂󠄃 噂󠄄
噄	噄 噄󠄁 噄󠄂
噆	噆 噆󠄁 噆󠄂
噇	噇 噇󠄁 噇󠄂
噌	噌 噌󠄂 噌󠄃
噠	噠 噠󠄁 噠󠄂
器	器 器󠄂 器󠄃 器󠄄 器󠄅
噫	噫 噫󠄁 噫󠄂
噱	噱 噱󠄁 噱󠄂
噴	噴 噴󠄂 噴󠄃 噴󠄄
噶	噶 噶󠄁 噶󠄂
噸	噸 噸󠄂 噸󠄃
嚀	嚀 嚀󠄁 嚀󠄂
嚃	嚃 嚃󠄀 嚃󠄁
嚄	嚄 嚄󠄁 嚄󠄂
嚆	嚆 嚆󠄁 嚆󠄂
嚊	嚊 嚊󠄁 嚊󠄂
嚔	嚔 嚔󠄁 嚔󠄂 嚔󠄃
嚝	嚝 嚝󠄁 嚝󠄂
嚠	嚠 嚠󠄁 嚠󠄂
嚥	嚥 嚥󠄂 嚥󠄃
嚨	嚨 嚨󠄁 嚨󠄂
嚮	嚮 嚮󠄄 嚮󠄅 嚮󠄆 嚮󠄇
嚼	嚼 嚼󠄁 嚼󠄂
囀	囀 囀󠄂 囀󠄃
囁	囁 囁󠄂 囁󠄃 囁󠄄
囈	囈 囈󠄁 囈󠄂
囌	囌 囌󠄁 囌󠄂
囎	囎 囎󠄂 囎󠄃 囎󠄄 囎󠄅
囓	囓 囓󠄁 囓󠄂 囓󠄃
四	四 四󠄁 四󠄂
囮	囮 囮󠄂 囮󠄃
囶	囶 囶󠄁 囶󠄂
圂	圂 圂󠄁 圂󠄂
圈	圈 圈󠄁 圈󠄂
圊	圊 圊󠄁 圊󠄂
圍	圍 圍󠄂 圍󠄃 圍󠄄 圍󠄅
圑	圑 圑󠄁 圑󠄂 圑󠄃
圖	圖 圖󠄁 圖󠄂 圖󠄃
圗	圗 圗󠄀 圗󠄁
圛	圛 圛󠄁 圛󠄂
圣	圣 圣󠄁 圣󠄂
圬	圬 圬󠄁 圬󠄂
圭	圭 圭󠄁 圭󠄂
圴	圴 圴󠄁 圴󠄂
均	均 均󠄂 均󠄃
坈	坈 坈󠄀 坈󠄁
坪	坪 坪󠄂 坪󠄃
垉	垉 垉󠄁 垉󠄂
型	型 型󠄁 型󠄂
垓	垓 垓󠄁 垓󠄂
垔	垔 垔󠄁 垔󠄂
垝	垝 垝󠄁 垝󠄂
垪	垪 垪󠄁 垪󠄂
埈	埈 埈󠄁 埈󠄂
城	城 城󠄂 城󠄃
埒	埒 埒󠄁 埒󠄂
埓	埓 埓󠄁 埓󠄂
埕	埕 埕󠄁 埕󠄂
埖	埖 埖󠄂 埖󠄃
埧	埧 埧󠄁 埧󠄂
埴	埴 埴󠄃 埴󠄄
埶	埶 埶󠄁 埶󠄂
埸	埸 埸󠄁 埸󠄂
堅	堅 堅󠄁 堅󠄂
堋	堋 堋󠄂 堋󠄃
堙	堙 堙󠄂 堙󠄃
堟	堟 堟󠄁 堟󠄂
堰	堰 堰󠄁 堰󠄃
報	報 報󠄁 報󠄂
堲	堲 堲󠄁 堲󠄂
場	場 場󠄁 場󠄂
堵	堵 堵󠄂 堵󠄃
堷	堷 堷󠄀 堷󠄁
堽	堽 堽󠄂 堽󠄃
塀	塀 塀󠄂 塀󠄃
塊	塊 塊󠄁 塊󠄂
塌	塌 塌󠄁 塌󠄂
塑	塑 塑󠄁 塑󠄂
塔	塔 塔󠄁 塔󠄂
塘	塘 塘󠄂 塘󠄃
塙	塙 塙󠄂 塙󠄃 塙󠄄
塚	塚 塚󠄃 塚󠄄 塚󠄅 塚󠄆
塟	塟 塟󠄁 塟󠄂
塰	塰 塰󠄁 塰󠄂 塰󠄃
墀	墀 墀󠄁 墀󠄂
墁	墁 墁󠄁 墁󠄂
境	境 境󠄁 境󠄂
墍	墍 墍󠄁 墍󠄂 墍󠄃
墓	墓 墓󠄁 墓󠄂
墜	墜 墜󠄂 墜󠄃 墜󠄄
增	增 增󠄁 增󠄂
墟	墟 墟󠄁 墟󠄂
墨	墨 墨󠄂 墨󠄃
墫	墫 墫󠄂 墫󠄃 墫󠄄
墳	墳 墳󠄁 墳󠄂
墸	墸 墸󠄁 墸󠄂 墸󠄃
墺	墺 墺󠄁 墺󠄂
壄	壄 壄󠄁 壄󠄂
壇	壇 壇󠄁 壇󠄂
壎	壎 壎󠄁 壎󠄂
壐	壐 壐󠄁 壐󠄂
壒	壒 壒󠄁 壒󠄂
壓	壓 壓󠄁 壓󠄂 壓󠄃
壕	壕 壕󠄁 壕󠄂
壙	壙 壙󠄁 壙󠄂
壝	壝 壝󠄁 壝󠄂
壟	壟 壟󠄁 壟󠄂
壠	壠 壠󠄁 壠󠄂
壡	壡 壡󠄁 壡󠄂
壥	壥 壥󠄁 壥󠄂
壳	壳 壳󠄁 壳󠄂
壴	壴 壴󠄁 壴󠄂
壷	壷 壷󠄁 壷󠄂
壽	壽 壽󠄁 壽󠄂
夀	夀 夀󠄀 夀󠄁 夀󠄂 夀󠄃 夀󠄄
夅	夅 夅󠄁 夅󠄂
夊	夊 夊󠄁 夊󠄂
夌	夌 夌󠄁 夌󠄂
夏	夏 夏󠄁 夏󠄂 夏󠄃
夒	夒 夒󠄁 夒󠄂
夓	夓 夓󠄁 夓󠄂
夔	夔 夔󠄁 夔󠄂 夔󠄃
外	外 外󠄁 外󠄂
夗	夗 夗󠄀 夗󠄁
夛	夛 夛󠄂 夛󠄃
夢	夢 夢󠄁 夢󠄂 夢󠄃
夸	夸 夸󠄁 夸󠄂
奆	奆 奆󠄁 奆󠄂
契	契 契󠄃 契󠄄 契󠄅 契󠄆
奓	奓 奓󠄂 奓󠄃
奔	奔 奔󠄁 奔󠄂
奘	奘 奘󠄁 奘󠄂
奟	奟 奟󠄁 奟󠄂
奠	奠 奠󠄂 奠󠄃 奠󠄄 奠󠄅
奢	奢 奢󠄂 奢󠄃
奣	奣 奣󠄁 奣󠄂
奥	奥 奥󠄁 奥󠄂
奩	奩 奩󠄁 奩󠄂
奰	奰 奰󠄀 奰󠄁
奲	奲 奲󠄁 奲󠄂
妁	妁 妁󠄁 妁󠄂
妃	妃 妃󠄁 妃󠄂
妄	妄 妄󠄂 妄󠄃
妛	妛 妛󠄁 妛󠄂
妠	妠 妠󠄀 妠󠄁
妥	妥 妥󠄂 妥󠄃
姍	姍 姍󠄁 姍󠄂
姘	姘 姘󠄀 姘󠄁
姚	姚 姚󠄂 姚󠄃
姣	姣 姣󠄁 姣󠄂
姬	姬 姬󠄂 姬󠄃
姿	姿 姿󠄃 姿󠄄
威	威 威󠄁 威󠄂
娜	娜 娜󠄂 娜󠄃
娩	娩 娩󠄂 娩󠄃
娶	娶 娶󠄂 娶󠄃
婁	婁 婁󠄁 婁󠄂
婈	婈 婈󠄁 婈󠄂
婌	婌 婌󠄁 婌󠄂
婦	婦 婦󠄂 婦󠄃
婧	婧 婧󠄁 婧󠄂
婬	婬 婬󠄁 婬󠄂
婾	婾 婾󠄁 婾󠄂
媍	媍 媍󠄀 媍󠄁
媖	媖 媖󠄁 媖󠄂
媛	媛 媛󠄂 媛󠄃
媢	媢 媢󠄁 媢󠄂
媵	媵 媵󠄁 媵󠄂
媺	媺 媺󠄁 媺󠄂 媺󠄃
媾	媾 媾󠄃 媾󠄄
媿	媿 媿󠄁 媿󠄂
嫁	嫁 嫁󠄁 嫁󠄂
嫂	嫂 嫂󠄂 嫂󠄃 嫂󠄄
嫋	嫋 嫋󠄁 嫋󠄂
嫌	嫌 嫌󠄂 嫌󠄃
嫗	嫗 嫗󠄁 嫗󠄂
嫚	嫚 嫚󠄂 嫚󠄃
嫛	嫛 嫛󠄀 嫛󠄁
嫜	嫜 嫜󠄁 嫜󠄂
嫟	嫟 嫟󠄀 嫟󠄁
嫡	嫡 嫡󠄁 嫡󠄂
嬅	嬅 嬅󠄀 嬅󠄁
嬪	嬪 嬪󠄁 嬪󠄂
嬴	嬴 嬴󠄁 嬴󠄂 嬴󠄃
嬶	嬶 嬶󠄁 嬶󠄂
嬾	嬾 嬾󠄁 嬾󠄂
孚	孚 孚󠄂 孚󠄃
孤	孤 孤󠄁 孤󠄂 孤󠄃
孩	孩 孩󠄁 孩󠄂
孰	孰 孰󠄁 孰󠄂
孳	孳 孳󠄂 孳󠄃
孵	孵 孵󠄁 孵󠄂
孶	孶 孶󠄁 孶󠄂
孼	孼 孼󠄂 孼󠄃
孽	孽 孽󠄁 孽󠄂
宅	宅 宅󠄁 宅󠄂
宐	宐 宐󠄁 宐󠄂
宣	宣 宣󠄁 宣󠄂
宲	宲 宲󠄁 宲󠄂
害	害 害󠄄 害󠄅 害󠄆
宵	宵 宵󠄂 宵󠄃
家	家 家󠄁 家󠄂
宻	宻 宻󠄀 宻󠄁
寀	寀 寀󠄁 寀󠄂
寃	寃 寃󠄂 寃󠄃 寃󠄄
寇	寇 寇󠄁 寇󠄂
寈	寈 寈󠄀 寈󠄁
寐	寐 寐󠄁 寐󠄂
寒	寒 寒󠄂 寒󠄃
寗	寗 寗󠄁 寗󠄂 寗󠄃 寗󠄄
寙	寙 寙󠄁 寙󠄂
寛	寛 寛󠄂 寛󠄃 寛󠄄
寞	寞 寞󠄁 寞󠄂
寢	寢 寢󠄁 寢󠄂
寤	寤 寤󠄁 寤󠄂
寥	寥 寥󠄁 寥󠄂
寧	寧 寧󠄂 寧󠄃
寬	寬 寬󠄁 寬󠄂 寬󠄃
寵	寵 寵󠄁 寵󠄂 寵󠄃
寶	寶 寶󠄁 寶󠄂
寽	寽 寽󠄁 寽󠄂
寿	寿 寿󠄁 寿󠄂
射	射 射󠄁 射󠄂
将	将 将󠄂 将󠄃 将󠄄
將	將 將󠄁 將󠄂 將󠄃 將󠄄
專	專 專󠄁 專󠄂
尉	尉 尉󠄁 尉󠄂
尊	尊 尊󠄃 尊󠄄 尊󠄅
尋	尋 尋󠄂 尋󠄃
導	導 導󠄂 導󠄃
尙	尙 尙󠄁 尙󠄂
尣	尣 尣󠄁 尣󠄂
尨	尨 尨󠄂 尨󠄃 尨󠄄
尭	尭 尭󠄁 尭󠄂 尭󠄃
尹	尹 尹󠄁 尹󠄂
屆	屆 屆󠄁 屆󠄂
屏	屏 屏󠄁 屏󠄂
屑	屑 屑󠄂 屑󠄃
屓	屓 屓󠄁 屓󠄂
展	展 展󠄁 展󠄂
屠	屠 屠󠄂 屠󠄃
層	層 層󠄂 層󠄃
履	履 履󠄁 履󠄂
屮	屮 屮󠄂 屮󠄃
岈	岈 岈󠄁 岈󠄂
岌	岌 岌󠄁 岌󠄂
岍	岍 岍󠄀 岍󠄁
岑	岑 岑󠄁 岑󠄂
岔	岔 岔󠄁 岔󠄂
岼	岼 岼󠄁 岼󠄂
峀	峀 峀󠄀 峀󠄁
峭	峭 峭󠄁 峭󠄂
峺	峺 峺󠄁 峺󠄂
峻	峻 峻󠄁 峻󠄂
崆	崆 崆󠄁 崆󠄂
崋	崋 崋󠄁 崋󠄂
崚	崚 崚󠄁 崚󠄂
崝	崝 崝󠄁 崝󠄂
崡	崡 崡󠄀 崡󠄁
崢	崢 崢󠄁 崢󠄂
崧	崧 崧󠄁 崧󠄂
崩	崩 崩󠄂 崩󠄃
崪	崪 崪󠄀 崪󠄁
崿	崿 崿󠄁 崿󠄂
嵁	嵁 嵁󠄀 嵁󠄁
嵆	嵆 嵆󠄁 嵆󠄂
嵩	嵩 嵩󠄁 嵩󠄂
嵫	嵫 嵫󠄀 嵫󠄁
嵮	嵮 嵮󠄀 嵮󠄁
嵶	嵶 嵶󠄁 嵶󠄂
嶂	嶂 嶂󠄁 嶂󠄂
嶇	嶇 嶇󠄂 嶇󠄃
嶐	嶐 嶐󠄁 嶐󠄂
嶒	嶒 嶒󠄁 嶒󠄂
嶙	嶙 嶙󠄁 嶙󠄂
嶲	嶲 嶲󠄂 嶲󠄃
巁	巁 巁󠄀 巁󠄁
巃	巃 巃󠄁 巃󠄂 巃󠄃
巉	巉 巉󠄂 巉󠄃
巍	巍 巍󠄁 巍󠄂 巍󠄃 巍󠄄
巎	巎 巎󠄁 巎󠄂
巓	巓 巓󠄂 巓󠄃 巓󠄄
巖	巖 巖󠄁 巖󠄂 巖󠄃
巙	巙 巙󠄁 巙󠄂 巙󠄃
巟	巟 巟󠄀 巟󠄁
巡	巡 巡󠄂 巡󠄃
巢	巢 巢󠄁 巢󠄂 巢󠄃
巤	巤 巤󠄁 巤󠄂
左	左 左󠄁 左󠄂
巨	巨 巨󠄂 巨󠄃
巩	巩 巩󠄁 巩󠄂
差	差 差󠄁 差󠄂 差󠄃
巷	巷 巷󠄂 巷󠄃
巸	巸 巸󠄁 巸󠄂 巸󠄃
巻	巻 巻󠄁 巻󠄂 巻󠄃
巽	巽 巽󠄂 巽󠄃 巽󠄄
希	希 希󠄁 希󠄂
帓	帓 帓󠄀 帓󠄁
帚	帚 帚󠄁 帚󠄂
帝	帝 帝󠄂 帝󠄃
帣	帣 帣󠄀 帣󠄁
帨	帨 帨󠄁 帨󠄂
師	師 師󠄁 師󠄂 師󠄃 師󠄄
帮	帮 帮󠄁 帮󠄂
帯	帯 帯󠄁 帯󠄂
帰	帰 帰󠄂 帰󠄃 帰󠄄
帽	帽 帽󠄂 帽󠄃
帾	帾 帾󠄁 帾󠄂
幂	幂 幂󠄀 幂󠄁
幃	幃 幃󠄂 幃󠄃 幃󠄄
幔	幔 幔󠄂 幔󠄃
幕	幕 幕󠄁 幕󠄂
幙	幙 幙󠄀 幙󠄁
幛	幛 幛󠄁 幛󠄂
幟	幟 幟󠄁 幟󠄂
幢	幢 幢󠄁 幢󠄂
幣	幣 幣󠄂 幣󠄃
幤	幤 幤󠄂 幤󠄃 幤󠄄
幩	幩 幩󠄀 幩󠄁
幪	幪 幪󠄁 幪󠄂 幪󠄃
幭	幭 幭󠄁 幭󠄂 幭󠄃 幭󠄄
幯	幯 幯󠄀 幯󠄁
幰	幰 幰󠄁 幰󠄂
平	平 平󠄂 平󠄃
年	年 年󠄁 年󠄂
幵	幵 幵󠄁 幵󠄂 幵󠄃
幸	幸 幸󠄁 幸󠄂
幾	幾 幾󠄂 幾󠄃 幾󠄄
底	底 底󠄁 底󠄂
庖	庖 庖󠄂 庖󠄃
度	度 度󠄁 度󠄂
庬	庬 庬󠄁 庬󠄂 庬󠄃
庭	庭 庭󠄂 庭󠄃 庭󠄄
庳	庳 庳󠄁 庳󠄂
庶	庶 庶󠄁 庶󠄂
康	康 康󠄁 康󠄂
庸	庸 庸󠄁 庸󠄂
庹	庹 庹󠄁 庹󠄂
庻	庻 庻󠄀 庻󠄁
庾	庾 庾󠄁 庾󠄂
庿	庿 庿󠄁 庿󠄂
廉	廉 廉󠄂 廉󠄃
廊	廊 廊󠄃 廊󠄄
廋	廋 廋󠄂 廋󠄃
廏	廏 廏󠄂 廏󠄃
廐	廐 廐󠄂 廐󠄃 廐󠄄 廐󠄅 廐󠄆 廐󠄇
廖	廖 廖󠄁 廖󠄂
廙	廙 廙󠄁 廙󠄂
廟	廟 廟󠄂 廟󠄃
廠	廠 廠󠄂 廠󠄃
廣	廣 廣󠄃 廣󠄄 廣󠄅 廣󠄌
廴	廴 廴󠄁 廴󠄂
延	延 延󠄃 延󠄄 延󠄅
廷	廷 廷󠄂 廷󠄃 廷󠄄
廸	廸 廸󠄁 廸󠄂
廹	廹 廹󠄁 廹󠄂
建	建 建󠄂 建󠄃 建󠄄
廻	廻 廻󠄂 廻󠄃
廼	廼 廼󠄁 廼󠄂 廼󠄃
廽	廽 廽󠄁 廽󠄂
廾	廾 廾󠄁 廾󠄂
异	异 异󠄁 异󠄂
弉	弉 弉󠄁 弉󠄂
弊	弊 弊󠄂 弊󠄃
弍	弍 弍󠄁 弍󠄂
弎	弎 弎󠄁 弎󠄂
弓	弓 弓󠄁 弓󠄂 弓󠄃
弔	弔 弔󠄁 弔󠄂
弖	弖 弖󠄁 弖󠄂
弗	弗 弗󠄁 弗󠄂
弡	弡 弡󠄁 弡󠄂
弢	弢 弢󠄁 弢󠄂
弧	弧 弧󠄁 弧󠄂
弩	弩 弩󠄁 弩󠄂
弭	弭 弭󠄂 弭󠄃
弱	弱 弱󠄂 弱󠄃
弸	弸 弸󠄂 弸󠄃
彄	彄 彄󠄁 彄󠄂
彅	彅 彅󠄂 彅󠄃 彅󠄄
彌	彌 彌󠄁 彌󠄂 彌󠄃
彐	彐 彐󠄂 彐󠄃 彐󠄄
录	录 录󠄀 录󠄁
彖	彖 彖󠄁 彖󠄂 彖󠄃
彗	彗 彗󠄁 彗󠄂 彗󠄃
彚	彚 彚󠄀 彚󠄁 彚󠄂 彚󠄄
彜	彜 彜󠄁 彜󠄂
彠	彠 彠󠄁 彠󠄂
形	形 形󠄂 形󠄃
彩	彩 彩󠄂 彩󠄃
彪	彪 彪󠄁 彪󠄂
彫	彫 彫󠄂 彫󠄃
彰	彰 彰󠄁 彰󠄂
彴	彴 彴󠄁 彴󠄂
往	往 往󠄂 往󠄃
後	後 後󠄁 後󠄂
徏	徏 徏󠄁 徏󠄂
従	従 従󠄁 従󠄂
徘	徘 徘󠄂 徘󠄃
從	從 從󠄁 從󠄂
御	御 御󠄃 御󠄄 御󠄅 御󠄆
徤	徤 徤󠄁 徤󠄂
徫	徫 徫󠄁 徫󠄂
徬	徬 徬󠄁 徬󠄂
微	微 微󠄂 微󠄃 微󠄄 微󠄅
徲	徲 徲󠄀 徲󠄁
徳	徳 徳󠄁 徳󠄂
徵	徵 徵󠄂 徵󠄃
德	德 德󠄁 德󠄂
徽	徽 徽󠄂 徽󠄃
忍	忍 忍󠄂 忍󠄃 忍󠄄
忘	忘 忘󠄂 忘󠄃
忙	忙 忙󠄂 忙󠄃
忞	忞 忞󠄁 忞󠄂
忟	忟 忟󠄀 忟󠄁
忭	忭 忭󠄁 忭󠄂
忰	忰 忰󠄁 忰󠄂
忿	忿 忿󠄁 忿󠄂
急	急 急󠄂 急󠄃
怦	怦 怦󠄁 怦󠄂
恊	恊 恊󠄁 恊󠄂
恐	恐 恐󠄂 恐󠄃
恔	恔 恔󠄁 恔󠄂
恝	恝 恝󠄁 恝󠄂 恝󠄃
恢	恢 恢󠄃 恢󠄄 恢󠄅
恥	恥 恥󠄂 恥󠄃
恱	恱 恱󠄁 恱󠄂
恵	恵 恵󠄂 恵󠄃
恾	恾 恾󠄁 恾󠄂 恾󠄃
悁	悁 悁󠄁 悁󠄂
悄	悄 悄󠄁 悄󠄂
悋	悋 悋󠄁 悋󠄂
悔	悔 悔󠄂 悔󠄃
悗	悗 悗󠄃 悗󠄄 悗󠄅
悟	悟 悟󠄁 悟󠄂
悤	悤 悤󠄂 悤󠄃 悤󠄄
您	您 您󠄁 您󠄂
悲	悲 悲󠄂 悲󠄃
悾	悾 悾󠄁 悾󠄂
情	情 情󠄂 情󠄃
惆	惆 惆󠄁 惆󠄂
惇	惇 惇󠄁 惇󠄂
惓	惓 惓󠄁 惓󠄂
惘	惘 惘󠄂 惘󠄃 惘󠄄
惝	惝 惝󠄁 惝󠄂
惠	惠 惠󠄁 惠󠄂 惠󠄃
惥	惥 惥󠄁 惥󠄂
惧	惧 惧󠄁 惧󠄂
惹	惹 惹󠄁 惹󠄂
愇	愇 愇󠄁 愇󠄂
愈	愈 愈󠄂 愈󠄃 愈󠄄
愉	愉 愉󠄂 愉󠄃
意	意 意󠄂 意󠄃
愑	愑 愑󠄁 愑󠄂
愒	愒 愒󠄁 愒󠄂
愔	愔 愔󠄁 愔󠄂
愕	愕 愕󠄁 愕󠄂
愖	愖 愖󠄁 愖󠄂
愛	愛 愛󠄁 愛󠄂 愛󠄃
愺	愺 愺󠄁 愺󠄂
愼	愼 愼󠄁 愼󠄂 愼󠄄
愽	愽 愽󠄂 愽󠄃 愽󠄄
慈	慈 慈󠄂 慈󠄃 慈󠄄
慊	慊 慊󠄁 慊󠄂
慌	慌 慌󠄂 慌󠄃 慌󠄄
慎	慎 慎󠄂 慎󠄃
慕	慕 慕󠄁 慕󠄂
慜	慜 慜󠄀 慜󠄁
慝	慝 慝󠄁 慝󠄂 慝󠄃
慞	慞 慞󠄁 慞󠄂
慢	慢 慢󠄂 慢󠄃
慥	慥 慥󠄁 慥󠄂 慥󠄃
慧	慧 慧󠄃 慧󠄄 慧󠄅
慨	慨 慨󠄆 慨󠄇 慨󠄈 慨󠄉 慨󠄊 慨󠄋 慨󠄍 慨󠄎 慨󠄏
慴	慴 慴󠄁 慴󠄂
慶	慶 慶󠄁 慶󠄂
慺	慺 慺󠄀 慺󠄁 慺󠄃
慿	慿 慿󠄁 慿󠄂
憁	憁 憁󠄁 憁󠄂
憂	憂 憂󠄁 憂󠄂 憂󠄃
憊	憊 憊󠄁 憊󠄂
憎	憎 憎󠄂 憎󠄃
憐	憐 憐󠄂 憐󠄃 憐󠄄
憓	憓 憓󠄁 憓󠄂
憛	憛 憛󠄀 憛󠄁
憤	憤 憤󠄂 憤󠄃 憤󠄄
憧	憧 憧󠄁 憧󠄂
憯	憯 憯󠄀 憯󠄁
憲	憲 憲󠄃 憲󠄄 憲󠄅 憲󠄆
憴	憴 憴󠄀 憴󠄁
憶	憶 憶󠄁 憶󠄂
憼	憼 憼󠄁 憼󠄂
懂	懂 懂󠄁 懂󠄂
懊	懊 懊󠄁 懊󠄂
懋	懋 懋󠄁 懋󠄂
懌	懌 懌󠄁 懌󠄂
懐	懐 懐󠄁 懐󠄂
懕	懕 懕󠄁 懕󠄂
懞	懞 懞󠄁 懞󠄂 懞󠄃
懥	懥 懥󠄁 懥󠄂
懩	懩 懩󠄁 懩󠄂
懬	懬 懬󠄁 懬󠄂
懲	懲 懲󠄄 懲󠄅 懲󠄆 懲󠄇
懵	懵 懵󠄁 懵󠄂
懶	懶 懶󠄁 懶󠄂
懻	懻 懻󠄀 懻󠄁
懽	懽 懽󠄁 懽󠄂
懾	懾 懾󠄂 懾󠄃
懿	懿 懿󠄁 懿󠄂
戅	戅 戅󠄀 戅󠄁
戇	戇 戇󠄁 戇󠄂
戎	戎 戎󠄁 戎󠄂
成	成 成󠄂 成󠄃
戔	戔 戔󠄁 戔󠄂
戚	戚 戚󠄁 戚󠄂
戛	戛 戛󠄁 戛󠄂
戠	戠 戠󠄁 戠󠄂 戠󠄃
戢	戢 戢󠄁 戢󠄂
戮	戮 戮󠄁 戮󠄂
戳	戳 戳󠄁 戳󠄂
戴	戴 戴󠄁 戴󠄂
戻	戻 戻󠄂 戻󠄃
房	房 房󠄂 房󠄃 房󠄄
所	所 所󠄂 所󠄃
扁	扁 扁󠄂 扁󠄃
扇	扇 扇󠄂 扇󠄃
扈	扈 扈󠄂 扈󠄃
扉	扉 扉󠄄 扉󠄅 扉󠄆 扉󠄇
才	才 才󠄁 才󠄂
扚	扚 扚󠄁 扚󠄂
扝	扝 扝󠄀 扝󠄁
扠	扠 扠󠄁 扠󠄂
扨	扨 扨󠄃 扨󠄄 扨󠄅
扮	扮 扮󠄁 扮󠄂
扱	扱 扱󠄂 扱󠄃
技	技 技󠄁 技󠄂
抃	抃 抃󠄁 抃󠄂
抆	抆 抆󠄀 抆󠄁
投	投 投󠄁 投󠄂
